,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,3390,Asia Central
1,ALB,Albania,4863,Europe Other
2,DZA,Algeria,12026,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,2,Europe Other
5,AGO,Angola,3199,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,23,America Central and South
8,ARG,Argentina,907,America Central and South
9,ARM,Armenia,2411,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,18218,Oceania
12,AUT,Austria,0,EU 14
13,AZE,Azerbaijan,7571,Europe Other
14,BHS,"Bahamas, The",82,America Central and South
15,BHR,Bahrain,9808,Middle East
16,BGD,Bangladesh,23824,Asia South
17,BRB,Barbados,182,America Central and South
18,BLR,Belarus,9889,Europe Other
19,BEL,Belgium,1,EU 14
20,BLZ,Belize,26,America Central and South
21,BEN,Benin,362,Africa Sub-Saharan
22,BMU,Bermuda (British),0,Other
23,BTN,Bhutan,258,Asia South
24,BOL,Bolivia,1022,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,3173,Europe Other
27,BWA,Botswana,379,Africa Sub-Saharan
28,BRA,Brazil,4435,America Central and South
29,VGB,British Virgin Islands,1,Other
30,BRN,Brunei,1179,Asia South East
31,BGR,Bulgaria,5,EU 2
32,BFA,Burkina,232,Africa Sub-Saharan
33,BDI,Burundi,171,Africa Sub-Saharan
34,KHM,Cambodia,643,Asia South East
35,CMR,Cameroon,4061,Africa Sub-Saharan
36,CAN,Canada,10340,America North
37,CPV,Cape Verde,85,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,52,Africa Sub-Saharan
40,TCD,Chad,82,Africa Sub-Saharan
41,CHL,Chile,889,America Central and South
42,CHN,China,285536,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,22920,America Central and South
46,COM,Comoros,116,Africa Sub-Saharan
47,COG,Congo,603,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),1919,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,89,America Central and South
51,HRV,Croatia,377,EU Other
52,CUB,Cuba,1282,America Central and South
53,CYP,Cyprus,419,EU Other
54,CYP,Cyprus (Northern part of),0,Europe Other
55,CZE,Czech Republic,1,EU 8
56,DNK,Denmark,1,EU 14
57,DJI,Djibouti,134,Africa Sub-Saharan
58,DMA,Dominica,49,America Central and South
59,DOM,Dominican Republic,1085,America Central and South
60,TLS,East Timor,3,Asia South East
61,ECU,Ecuador,2854,America Central and South
62,EGY,Egypt,33999,Africa North
63,SLV,El Salvador,24,America Central and South
64,GNQ,Equatorial Guinea,134,Africa Sub-Saharan
65,ERI,Eritrea,1032,Africa Sub-Saharan
66,EST,Estonia,2,EU 8
67,ETH,Ethiopia,3123,Africa Sub-Saharan
68,FLK,Falkland Islands (British),0,Other
69,FRO,Faroe Islands,0,Europe Other
70,FJI,Fiji,922,Oceania
71,FIN,Finland,0,EU 14
72,FRA,France,0,EU 14
73,GUF,French Guiana,0,America Central and South
74,PYF,French Polynesia,0,Oceania
75,GAB,Gabon,384,Africa Sub-Saharan
76,GMB,"Gambia, The",2074,Africa Sub-Saharan
77,GEO,Georgia,4844,Europe Other
78,DEU,Germany,1,EU 14
79,GHA,Ghana,24186,Africa Sub-Saharan
80,GIB,Gibraltar (British),0,Other
81,GRC,Greece,0,EU 14
82,GRL,Greenland,0,Europe Other
83,GRD,Grenada,76,America Central and South
84,GLP,Guadeloupe,0,America Central and South
85,GUM,Guam,0,Oceania
86,GTM,Guatemala,26,America Central and South
87,GIN,Guinea,560,Africa Sub-Saharan
88,GNB,Guinea-Bissau,70,Africa Sub-Saharan
89,GUY,Guyana,872,America Central and South
90,HTI,Haiti,206,America Central and South
91,HMD,Heard Island and McDonald Islands,0,Oceania
92,HND,Honduras,47,America Central and South
93,HKG,Hong Kong,10056,Asia East
94,HUN,Hungary,0,EU 8
95,ISL,Iceland,0,Europe Other
96,IND,India,380479,Asia South
97,IDN,Indonesia,34380,Asia South East
98,IRN,Iran,11377,Middle East
99,IRQ,Iraq,9996,Middle East
100,IRL,Ireland,2,EU 14
101,ISR,Israel,950,Middle East
102,ITA,Italy,2,EU 14
103,CIV,Ivory Coast,1626,Africa Sub-Saharan
104,JAM,Jamaica,7497,America Central and South
105,JPN,Japan,9942,Asia East
106,JOR,Jordan,12363,Middle East
107,KAZ,Kazakhstan,16532,Asia Central
108,KEN,Kenya,13706,Africa Sub-Saharan
109,KIR,Kiribati,0,Oceania
110,KWT,Kuwait,63780,Middle East
111,KGZ,Kyrgyzstan,845,Asia Central
112,LAO,Laos,226,Asia South East
113,LVA,Latvia,7,EU 8
114,LBN,Lebanon,12582,Middle East
115,LSO,Lesotho,224,Africa Sub-Saharan
116,LBR,Liberia,347,Africa Sub-Saharan
117,LBY,Libya,10740,Africa North
118,LIE,Liechtenstein,0,Europe Other
119,LTU,Lithuania,0,EU 8
120,LUX,Luxembourg,1,EU 14
121,MAC,Macau,190,Asia East
122,MKD,Macedonia,3159,Europe Other
123,MDG,Madagascar,384,Africa Sub-Saharan
124,MWI,Malawi,1779,Africa Sub-Saharan
125,MYS,Malaysia,9443,Asia South East
126,MDV,Maldives,83,Asia South
127,MLI,Mali,395,Africa Sub-Saharan
128,MLT,Malta,0,EU Other
129,MHL,Marshall Islands,1,Oceania
130,MTQ,Martinique,0,America Central and South
131,MRT,Mauritania,216,Africa North
132,MUS,Mauritius,913,Africa Sub-Saharan
133,MYT,Mayotte,0,Africa Sub-Saharan
134,MEX,Mexico,1923,America Central and South
135,FSM,Micronesia,0,Oceania
136,MDA,Moldova,1563,Europe Other
137,MCO,Monaco,15,Europe Other
138,MNG,Mongolia,2062,Asia East
139,MNE,Montenegro,1666,Europe Other
140,MSR,Montserrat (British),0,Other
141,MAR,Morocco,13215,Africa North
142,MOZ,Mozambique,974,Africa Sub-Saharan
143,MMR,Myanmar,1644,Asia South East
144,NAM,Namibia,116,Africa Sub-Saharan
145,NRU,Nauru,0,Oceania
146,NPL,Nepal,9642,Asia South
147,NLD,Netherlands,2,EU 14
148,NLD,Netherlands Antilles,0,America Central and South
149,NCL,New Caledonia,0,Oceania
150,NZL,New Zealand,6156,Oceania
151,NIC,Nicaragua,12,America Central and South
152,NER,Niger,247,Africa Sub-Saharan
153,NGA,Nigeria,128831,Africa Sub-Saharan
154,NIU,Niue,0,Oceania
155,NFK,Norfolk Island,0,Oceania
156,PRK,North Korea,16,Asia East
