,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,1706,Asia Central
1,ALB,Albania,2240,Europe Other
2,DZA,Algeria,5909,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,2,Europe Other
5,AGO,Angola,1136,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,7,America Central and South
8,ARG,Argentina,137,America Central and South
9,ARM,Armenia,265,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,1757,Oceania
12,AUT,Austria,0,EU 14
13,AZE,Azerbaijan,788,Europe Other
14,BHS,"Bahamas, The",22,America Central and South
15,BHR,Bahrain,198,Middle East
16,BGD,Bangladesh,12669,Asia South
17,BRB,Barbados,41,America Central and South
18,BLR,Belarus,1124,Europe Other
19,BEL,Belgium,0,EU 14
20,BLZ,Belize,14,America Central and South
21,BEN,Benin,279,Africa Sub-Saharan
22,BMU,Bermuda (British),0,Other
23,BTN,Bhutan,9,Asia South
24,BOL,Bolivia,171,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,208,Europe Other
27,BWA,Botswana,127,Africa Sub-Saharan
28,BRA,Brazil,1407,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,52,Asia South East
31,BGR,Bulgaria,4,EU 2
32,BFA,Burkina,109,Africa Sub-Saharan
33,BDI,Burundi,173,Africa Sub-Saharan
34,KHM,Cambodia,116,Asia South East
35,CMR,Cameroon,1968,Africa Sub-Saharan
36,CAN,Canada,1287,America North
37,CPV,Cape Verde,94,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,21,Africa Sub-Saharan
40,TCD,Chad,49,Africa Sub-Saharan
41,CHL,Chile,120,America Central and South
42,CHN,China,24229,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,2822,America Central and South
46,COM,Comoros,25,Africa Sub-Saharan
47,COG,Congo,669,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),2101,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,13,America Central and South
51,HRV,Croatia,75,EU Other
52,CUB,Cuba,303,America Central and South
53,CYP,Cyprus,291,EU Other
54,CYP,Cyprus (Northern part of),0,Europe Other
55,CZE,Czech Republic,1,EU 8
56,DNK,Denmark,0,EU 14
57,DJI,Djibouti,96,Africa Sub-Saharan
58,DMA,Dominica,11,America Central and South
59,DOM,Dominican Republic,174,America Central and South
60,TLS,East Timor,2,Asia South East
61,ECU,Ecuador,501,America Central and South
62,EGY,Egypt,3987,Africa North
63,SLV,El Salvador,9,America Central and South
64,GNQ,Equatorial Guinea,41,Africa Sub-Saharan
65,ERI,Eritrea,754,Africa Sub-Saharan
66,EST,Estonia,0,EU 8
67,ETH,Ethiopia,1601,Africa Sub-Saharan
68,FLK,Falkland Islands (British),0,Other
69,FRO,Faroe Islands,0,Europe Other
70,FJI,Fiji,199,Oceania
71,FIN,Finland,0,EU 14
72,FRA,France,3,EU 14
73,GUF,French Guiana,0,America Central and South
74,PYF,French Polynesia,0,Oceania
75,GAB,Gabon,119,Africa Sub-Saharan
76,GMB,"Gambia, The",2218,Africa Sub-Saharan
77,GEO,Georgia,775,Europe Other
78,DEU,Germany,1,EU 14
79,GHA,Ghana,9467,Africa Sub-Saharan
80,GIB,Gibraltar (British),0,Other
81,GRC,Greece,1,EU 14
82,GRL,Greenland,0,Europe Other
83,GRD,Grenada,23,America Central and South
84,GLP,Guadeloupe,0,America Central and South
85,GUM,Guam,0,Oceania
86,GTM,Guatemala,22,America Central and South
87,GIN,Guinea,560,Africa Sub-Saharan
88,GNB,Guinea-Bissau,98,Africa Sub-Saharan
89,GUY,Guyana,304,America Central and South
90,HTI,Haiti,42,America Central and South
91,HMD,Heard Island and McDonald Islands,0,Oceania
92,HND,Honduras,17,America Central and South
93,HKG,Hong Kong,678,Asia East
94,HUN,Hungary,0,EU 8
95,ISL,Iceland,7,Europe Other
96,IND,India,82389,Asia South
97,IDN,Indonesia,2088,Asia South East
98,IRN,Iran,10257,Middle East
99,IRQ,Iraq,2679,Middle East
100,IRL,Ireland,2,EU 14
101,ISR,Israel,137,Middle East
102,ITA,Italy,3,EU 14
103,CIV,Ivory Coast,820,Africa Sub-Saharan
104,JAM,Jamaica,3384,America Central and South
105,JPN,Japan,914,Asia East
106,JOR,Jordan,1478,Middle East
107,KAZ,Kazakhstan,1317,Asia Central
108,KEN,Kenya,3323,Africa Sub-Saharan
109,KIR,Kiribati,0,Oceania
110,KWT,Kuwait,826,Middle East
111,KGZ,Kyrgyzstan,306,Asia Central
112,LAO,Laos,37,Asia South East
113,LVA,Latvia,2,EU 8
114,LBN,Lebanon,1347,Middle East
115,LSO,Lesotho,55,Africa Sub-Saharan
116,LBR,Liberia,165,Africa Sub-Saharan
117,LBY,Libya,2424,Africa North
118,LIE,Liechtenstein,0,Europe Other
119,LTU,Lithuania,0,EU 8
120,LUX,Luxembourg,0,EU 14
121,MAC,Macau,16,Asia East
122,MKD,Macedonia,311,Europe Other
123,MDG,Madagascar,73,Africa Sub-Saharan
124,MWI,Malawi,680,Africa Sub-Saharan
125,MYS,Malaysia,1222,Asia South East
126,MDV,Maldives,69,Asia South
127,MLI,Mali,249,Africa Sub-Saharan
128,MLT,Malta,0,EU Other
129,MHL,Marshall Islands,0,Oceania
130,MTQ,Martinique,0,America Central and South
131,MRT,Mauritania,76,Africa North
132,MUS,Mauritius,514,Africa Sub-Saharan
133,MYT,Mayotte,0,Africa Sub-Saharan
134,MEX,Mexico,609,America Central and South
135,FSM,Micronesia,0,Oceania
136,MDA,Moldova,582,Europe Other
137,MCO,Monaco,2,Europe Other
138,MNG,Mongolia,997,Asia East
139,MNE,Montenegro,84,Europe Other
140,MSR,Montserrat (British),0,Other
141,MAR,Morocco,1827,Africa North
142,MOZ,Mozambique,147,Africa Sub-Saharan
143,MMR,Myanmar,562,Asia South East
144,NAM,Namibia,77,Africa Sub-Saharan
145,NRU,Nauru,0,Oceania
146,NPL,Nepal,11730,Asia South
147,NLD,Netherlands,2,EU 14
148,NLD,Netherlands Antilles,0,America Central and South
149,NCL,New Caledonia,0,Oceania
150,NZL,New Zealand,422,Oceania
151,NIC,Nicaragua,4,America Central and South
152,NER,Niger,64,Africa Sub-Saharan
153,NGA,Nigeria,67465,Africa Sub-Saharan
154,NIU,Niue,0,Oceania
155,NFK,Norfolk Island,0,Oceania
156,PRK,North Korea,1,Asia East
157,MNP,Northern Mariana Islands,0,Oceania
158,NOR,Norway,3,Europe Other
159,OMN,Oman,221,Middle East
160,PAK,Pakistan,63885,Asia South
161,PLW,Palau,0,Oceania
162,PAN,Panama,29,America Central and South
163,PNG,Papua New Guinea,3,Oceania
164,PRY,Paraguay,13,America Central and South
165,PER,Peru,597,America Central and South
166,PHL,Philippines,11318,Asia South East
167,PCN,Pitcairn Islands (British),0,Other
168,POL,Poland,8,EU 8
169,PRT,Portugal,0,EU 14
170,PRI,Puerto Rico,0,America North
171,QAT,Qatar,176,Middle East
172,ROU,Romania,9,EU 2
173,RUS,Russia,13352,Europe Other
174,RWA,Rwanda,323,Africa Sub-Saharan
175,WSM,Samoa,9,Oceania
176,SMR,San Marino,-1,Europe Other
177,STP,Sao Tome and Principe,52,Africa Sub-Saharan
178,SAU,Saudi Arabia,2526,Middle East
179,SEN,Senegal,1029,Africa Sub-Saharan
180,SRB,Serbia,412,Europe Other
181,MNE,Serbia and Montenegro,0,Europe Other
182,SYC,Seychelles,23,Africa Sub-Saharan
183,SLE,Sierra Leone,1490,Africa Sub-Saharan
184,SGP,Singapore,258,Asia South East
185,SVK,Slovakia,1,EU 8
186,SVN,Slovenia,1,EU 8
187,SLB,Solomon Islands,1,Oceania
188,SOM,Somalia,1683,Africa Sub-Saharan
189,ZAF,South Africa,4273,Africa Sub-Saharan
190,GEO,South Georgia and South Sandwich Islands,0,Other
191,KOR,South Korea,1504,Asia East
192,ESP,Spain,3,EU 14
193,LKA,Sri Lanka,11262,Asia South
194,KNA,St. Kitts and Nevis,6,America Central and South
195,LCA,St. Lucia,82,America Central and South
196,MAF,St. Martin (French Part),0,America Central and South
197,SPM,St. Pierre and Miquelon,0,America Central and South
198,SDN,Sudan,2228,Africa North
199,SDN,Sudan (South),0,Africa Sub-Saharan
200,SUR,Surinam,30,America Central and South
201,SJM,Svalbard and Jan Mayen,0,Europe Other
202,SWZ,Swaziland,75,Africa Sub-Saharan
203,SWE,Sweden,2,EU 14
204,CHE,Switzerland,0,Europe Other
205,SYR,Syria,2369,Middle East
206,TWN,Taiwan,201,Asia East
207,TJK,Tajikistan,54,Asia Central
208,TZA,Tanzania,2189,Africa Sub-Saharan
209,THA,Thailand,4779,Asia South East
210,TGO,Togo,183,Africa Sub-Saharan
211,TKL,Tokelau,0,Oceania
212,TON,Tonga,4,Oceania
213,TTO,Trinidad and Tobago,159,America Central and South
214,TUN,Tunisia,696,Africa North
215,TUR,Turkey,6625,Europe Other
216,TKM,Turkmenistan,181,Asia Central
217,TCA,Turks and Caicos Islands (British),0,Other
218,TUV,Tuvalu,0,Oceania
219,UGA,Uganda,3255,Africa Sub-Saharan
220,UKR,Ukraine,4595,Europe Other
221,ARE,United Arab Emirates,451,Middle East
222,USA,United States,4043,America North
223,VIR,United States Virgin Islands,0,America North
224,URY,Uruguay,14,America Central and South
225,UZB,Uzbekistan,1232,Asia Central
226,VUT,Vanuatu,0,Oceania
227,VAT,Vatican City,0,Europe Other
228,VEN,Venezuela,729,America Central and South
229,VNM,Vietnam,1217,Asia South East
230,WLF,Wallis and Futuna,0,Oceania
231,ESH,Western Sahara,0,Africa North
232,YEM,Yemen,1396,Middle East
233,ZMB,Zambia,924,Africa Sub-Saharan
234,ZWE,Zimbabwe,6392,Africa Sub-Saharan
235,PSE,the State of Palestine,819,Middle East
236,GGY,Guernsey,0,Other
237,BLM,Saint Barthélemy,0,Other
238,SXM,Sint Maarten (Dutch part),0,Other
239,VCT,Saint Vincent and the Grenadines,0,Other
240,GBR,United Kingdom,0,Other
241,BVT,Bouvet Island,0,Other
242,JEY,Jersey,0,Other
243,CUW,Curaçao,0,Other
244,ATA,Antarctica,0,Other
245,ALA,Åland Islands,0,Other
246,UMI,United States Minor Outlying Islands,0,Other
247,SSD,South Sudan,0,Other
248,REU,Réunion,0,Other
249,SHN,"Saint Helena, Ascension and Tristan da Cunha",0,Other
250,IMN,Isle of Man,0,Other
251,COD,"Congo, The Democratic Republic of the",0,Other
252,SGS,South Georgia and the South Sandwich Islands,0,Other
253,IOT,British Indian Ocean Territory,0,Other
254,ATF,French Southern Territories,0,Other
