,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,91,Asia Central
1,ALB,Albania,229,Europe Other
2,DZA,Algeria,264,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,7,Europe Other
5,AGO,Angola,376,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,17,America Central and South
8,ARG,Argentina,93,America Central and South
9,ARM,Armenia,112,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,1284,Oceania
12,AUT,Austria,0,EU 14
13,AZE,Azerbaijan,704,Europe Other
14,BHS,"Bahamas, The",54,America Central and South
15,BHR,Bahrain,845,Middle East
16,BGD,Bangladesh,2694,Asia South
17,BRB,Barbados,95,America Central and South
18,BLR,Belarus,183,Europe Other
19,BEL,Belgium,0,EU 14
20,BLZ,Belize,19,America Central and South
21,BEN,Benin,6,Africa Sub-Saharan
22,BMU,Bermuda (British),0,Other
23,BTN,Bhutan,13,Asia South
24,BOL,Bolivia,18,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,27,Europe Other
27,BWA,Botswana,193,Africa Sub-Saharan
28,BRA,Brazil,4285,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,866,Asia South East
31,BGR,Bulgaria,0,EU 2
32,BFA,Burkina,10,Africa Sub-Saharan
33,BDI,Burundi,8,Africa Sub-Saharan
34,KHM,Cambodia,54,Asia South East
35,CMR,Cameroon,440,Africa Sub-Saharan
36,CAN,Canada,3421,America North
37,CPV,Cape Verde,4,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,0,Africa Sub-Saharan
40,TCD,Chad,0,Africa Sub-Saharan
41,CHL,Chile,580,America Central and South
42,CHN,China,64601,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,972,America Central and South
46,COM,Comoros,1,Africa Sub-Saharan
47,COG,Congo,10,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),22,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,51,America Central and South
51,HRV,Croatia,0,EU Other
52,CUB,Cuba,7,America Central and South
53,CYP,Cyprus,6,EU Other
54,CYP,Cyprus (Northern part of),0,Europe Other
55,CZE,Czech Republic,0,EU 8
56,DNK,Denmark,0,EU 14
57,DJI,Djibouti,8,Africa Sub-Saharan
58,DMA,Dominica,9,America Central and South
59,DOM,Dominican Republic,67,America Central and South
60,TLS,East Timor,2,Asia South East
61,ECU,Ecuador,311,America Central and South
62,EGY,Egypt,1273,Africa North
63,SLV,El Salvador,13,America Central and South
64,GNQ,Equatorial Guinea,12,Africa Sub-Saharan
65,ERI,Eritrea,13,Africa Sub-Saharan
