,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,22,Asia Central
1,ALB,Albania,51,Europe Other
2,DZA,Algeria,90,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,3,Europe Other
5,AGO,Angola,37,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,6,America Central and South
8,ARG,Argentina,681,America Central and South
9,ARM,Armenia,48,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,16729,Oceania
12,AUT,Austria,0,EU 14
13,AZE,Azerbaijan,133,Europe Other
14,BHS,"Bahamas, The",5,America Central and South
15,BHR,Bahrain,48,Middle East
16,BGD,Bangladesh,560,Asia South
17,BRB,Barbados,33,America Central and South
18,BLR,Belarus,197,Europe Other
19,BEL,Belgium,0,EU 14
20,BLZ,Belize,3,America Central and South
21,BEN,Benin,5,Africa Sub-Saharan
22,BMU,Bermuda (British),0,Other
23,BTN,Bhutan,4,Asia South
24,BOL,Bolivia,20,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,29,Europe Other
27,BWA,Botswana,17,Africa Sub-Saharan
28,BRA,Brazil,1333,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,38,Asia South East
31,BGR,Bulgaria,0,EU 2
32,BFA,Burkina,8,Africa Sub-Saharan
33,BDI,Burundi,5,Africa Sub-Saharan
34,KHM,Cambodia,8,Asia South East
35,CMR,Cameroon,59,Africa Sub-Saharan
36,CAN,Canada,5913,America North
37,CPV,Cape Verde,3,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,0,Africa Sub-Saharan
40,TCD,Chad,6,Africa Sub-Saharan
41,CHL,Chile,190,America Central and South
42,CHN,China,5210,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,392,America Central and South
46,COM,Comoros,3,Africa Sub-Saharan
47,COG,Congo,3,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),30,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,50,America Central and South
51,HRV,Croatia,2,EU Other
52,CUB,Cuba,156,America Central and South
53,CYP,Cyprus,13,EU Other
54,CYP,Cyprus (Northern part of),0,Europe Other
55,CZE,Czech Republic,0,EU 8
56,DNK,Denmark,0,EU 14
57,DJI,Djibouti,1,Africa Sub-Saharan
58,DMA,Dominica,4,America Central and South
59,DOM,Dominican Republic,34,America Central and South
60,TLS,East Timor,0,Asia South East
61,ECU,Ecuador,87,America Central and South
62,EGY,Egypt,1765,Africa North
63,SLV,El Salvador,13,America Central and South
64,GNQ,Equatorial Guinea,1,Africa Sub-Saharan
65,ERI,Eritrea,104,Africa Sub-Saharan
66,EST,Estonia,0,EU 8
